Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Engine Load(%),Engine Coolant Temperature(C),Engine RPM(rpm),Speed (GPS)(mph),Track Progress,Adjusted Track Progress
13-Jun-2014 14:49:02.543000,-122.15005716666667,47.321105333333335,44.24222,0.0,70.9,282.3,2.69021606,-0.0556488,9.9311676,0.05969566,0.26788273,0.07606996,0.05083463,42.35294342,56.07843399,84.0,4610.0,98.96702576,0.0,0.0
13-Jun-2014 14:49:02.604000,-122.15005716666667,47.321105333333335,44.24222,0.0,70.9,282.3,2.90087891,0.13716125,9.6181488,0.03500503,0.26120993,0.05738611,-0.0071581,42.35294342,56.47058868,84.0,4610.0,98.96702576,0.0007968127490039841,0.0007968127490039841
13-Jun-2014 14:49:02.706000,-122.15011433333333,47.321114,44.24222,0.0,70.9,282.5,3.12225342,0.13240051,8.68147278,-0.04860532,0.26120993,0.05738611,-0.10263985,42.35294342,56.47058868,84.0,4610.0,98.96702576,0.0015936254980079682,0.0015936254980079682
13-Jun-2014 14:49:02.806000,-122.1501715,47.32112266666667,44.24222,0.0,70.8,282.8,2.83184814,0.43351746,7.71980286,-0.14978468,0.28377613,0.05690081,-0.10263985,42.35294342,55.68627548,84.0,4613.0,98.96702576,0.002390438247011952,0.002390438247011952
13-Jun-2014 14:49:02.906000,-122.15023116666667,47.32113416666667,44.226788,0.0,70.8,283.1,1.41195679,-0.06278992,10.56196594,0.09709328,0.18125761,0.0373677,-0.22869517,41.96078491,55.68627548,84.0,4613.0,98.93250275,0.0031872509960159364,0.0031872509960159364
13-Jun-2014 14:49:03.006000,-122.15028866666667,47.32114333333333,44.195923,0.0,71.0,283.4,1.55001831,-0.12110901,11.30464172,0.17404979,0.12350753,0.03105887,0.16475758,41.96078491,50.58823776,84.0,4608.0,98.86345673,0.00398406374501992,0.00398406374501992
13-Jun-2014 14:49:03.111000,-122.1503455,47.32115266666667,44.149624,0.0,71.0,283.7,0.25509644,-0.44245911,10.70002747,0.10281187,0.12350753,0.03105887,0.10312515,37.64706039,50.58823776,84.0,4608.0,98.75989532,0.004780876494023904,0.004780876494023904
13-Jun-2014 14:49:03.204000,-122.15040216666667,47.32116216666667,44.118755,0.0,71.0,284.0,-0.44235229,-0.78999329,10.15254211,0.0498684,-0.00849266,-0.00169853,0.10312515,37.64706039,43.92156982,84.0,4603.0,98.69084167,0.005577689243027889,0.005577689243027889
13-Jun-2014 14:49:03.308000,-122.15045866666667,47.32117183333333,44.08789,0.0,71.0,284.4,-0.69348145,-0.64598083,10.23347473,0.0584752,-0.11707737,-0.02790445,0.03918755,32.94117737,43.92156982,84.0,4603.0,98.62179565,0.006374501992031873,0.006374501992031873
13-Jun-2014 14:49:03.421000,-122.1505145,47.32118166666667,44.06731,0.0,71.0,284.8,-3.27975464,-1.35771179,8.37797546,-0.06164002,-0.36882403,-0.09499646,-0.13357739,32.94117737,27.05882454,84.0,4596.0,98.57576752,0.007171314741035857,0.007171314741035857
13-Jun-2014 14:49:03.505000,-122.1505145,47.32118166666667,44.06731,0.0,71.0,284.8,-0.55899048,-0.60670471,8.22801208,-0.14621407,-0.36882403,-0.09499646,-0.13357739,29.01960754,27.05882454,84.0,4596.0,98.57576752,0.00796812749003984,0.00796812749003984
13-Jun-2014 14:49:03.605000,-122.1506275,47.3212025,44.057022,0.0,70.9,285.3,0.07180786,-0.86973572,9.23490906,-0.04358542,-0.06575745,-0.020989,-0.15505169,29.01960754,18.03921509,84.0,4575.0,98.55274963,0.008764940239043825,0.008764940239043825
13-Jun-2014 14:49:03.709000,-122.15068366666667,47.321213,44.06731,0.0,70.9,285.5,-1.41473389,-1.95875549,9.46104431,0.04995424,-0.07970967,-0.0634523,0.04501109,14.11764717,18.03921509,84.0,4575.0,98.57576752,0.009561752988047808,0.009561752988047808
13-Jun-2014 14:49:03.804000,-122.15073933333333,47.3212235,44.06217,0.0,70.9,285.8,-0.74108887,-1.37556458,10.09898376,0.05255014,-0.1100406,-0.09681631,0.04185668,14.11764717,20.0,84.0,4607.0,98.56425476,0.010358565737051793,0.010358565737051793
13-Jun-2014 14:49:03.915000,-122.150801,47.321239166666665,44.06731,0.0,70.9,286.0,-0.20788574,-2.0896759,10.79167175,0.13154644,-0.1100406,-0.09681631,0.04185668,14.11764717,20.0,84.0,4542.0,98.57576752,0.011155378486055778,0.011155378486055778
13-Jun-2014 14:49:04.005000,-122.150857,47.321250166666665,44.072456,0.0,71.2,286.2,-0.56851196,-2.82402039,9.48722839,0.02153951,-0.05568758,-0.16961053,0.11246707,14.11764717,16.47058868,84.0,4542.0,98.58728027,0.01195219123505976,0.01195219123505976
13-Jun-2014 14:49:04.105000,-122.15091283333334,47.32126133333333,44.0776,0.0,71.2,286.5,-0.43640137,-3.5393219,9.4622345,0.04162127,-0.07898173,-0.31738281,-0.0230515,14.11764717,16.47058868,84.0,4452.0,98.59877777,0.012749003984063745,0.012749003984063745
13-Jun-2014 14:49:04.204000,-122.15096883333334,47.3212725,44.0776,0.0,71.2,286.7,-0.16860962,-4.21058655,9.58839417,0.07848138,-0.0516839,-0.38580936,-0.01019119,14.11764717,15.29411793,84.0,4452.0,98.59877777,0.013545816733067729,0.013545816733067729
13-Jun-2014 14:49:04.305000,-122.1510245,47.321284,44.072456,0.0,71.2,286.9,-0.33761597,-4.0499115,8.69218445,-0.011042,-0.0516839,-0.38580936,-0.01019119,14.11764717,11.76470566,84.0,4384.0,98.58728027,0.014342629482071713,0.014342629482071713
13-Jun-2014 14:49:04.404000,-122.15108033333334,47.321295666666664,44.057022,0.0,71.2,287.2,-0.11505127,-4.3129425,9.47175598,0.07181352,-0.04683095,-0.36566964,-0.13891564,14.11764717,11.76470566,84.0,4384.0,98.55274963,0.015139442231075698,0.015139442231075698
13-Jun-2014 14:49:04.505000,-122.15113583333333,47.32130733333333,44.036446,0.0,71.1,287.5,-0.07815552,-4.34150696,9.39201355,0.06560475,-0.0424633,-0.39915496,-0.0302096,14.11764717,7.05882359,84.0,4309.0,98.5067215,0.01593625498007968,0.01593625498007968
13-Jun-2014 14:49:04.605000,-122.15119133333333,47.321319333333335,44.010723,0.0,71.1,287.8,-0.10314941,-4.59263611,9.6264801,0.09814209,-0.04501109,-0.42475426,-0.00630883,14.11764717,7.05882359,84.0,4309.0,98.4491806,0.016733067729083666,0.016733067729083666
13-Jun-2014 14:49:04.705000,-122.15124616666667,47.32133133333333,43.974712,0.0,71.1,288.0,-0.19836426,-4.61882019,9.75144958,0.11092824,-0.04501109,-0.42475426,-0.00630883,14.11764717,7.05882359,84.0,4309.0,98.36862946,0.01752988047808765,0.01752988047808765
13-Jun-2014 14:49:04.804000,-122.151302,47.32134383333333,43.9387,0.0,71.1,288.3,-0.19598389,-4.4283905,10.22395325,0.14677936,-0.0373677,-0.42426899,0.06600009,14.11764717,7.05882359,84.0,4191.0,98.28807068,0.018326693227091632,0.018326693227091632
13-Jun-2014 14:49:04.905000,-122.15136216666667,47.32136066666666,43.8924,0.0,71.1,288.6,0.03134155,-3.90351868,9.87046814,0.09283715,-0.03130151,-0.35450786,0.01856253,14.11764717,2.35294127,84.0,4191.0,98.18450165,0.019123505976095617,0.019123505976095617
13-Jun-2014 14:49:05.005000,-122.15141683333333,47.3213735,43.59402,0.0,71.5,289.2,-0.27810669,-4.40458679,8.3422699,-0.02710205,-0.06284568,-0.40558514,-0.1372171,14.11764717,0.0,84.0,3958.0,97.5170517,0.0199203187250996,0.0199203187250996
13-Jun-2014 14:49:05.104000,-122.151471,47.32138666666667,43.480843,0.0,71.5,290.0,-0.27810669,-4.40458679,8.3422699,-0.02710205,-0.06284568,-0.40558514,-0.1372171,21.96078491,0.0,84.0,3958.0,97.26387787,0.020717131474103586,0.020717131474103586
13-Jun-2014 14:49:05.205000,-122.15152483333334,47.32140016666666,43.125877,0.0,71.5,290.8,-0.27810669,-4.40458679,8.3422699,-0.02710205,-0.06284568,-0.40558514,-0.1372171,21.96078491,56.07843399,84.0,3651.0,96.469841,0.02151394422310757,0.02151394422310757
13-Jun-2014 14:49:05.305000,-122.15152483333334,47.32140016666666,43.125877,0.0,71.5,290.8,-0.25668335,-5.8780365,8.58506775,0.07177299,-0.06066185,-0.55578387,-0.11246707,55.29411697,56.07843399,84.0,3651.0,96.469841,0.022310756972111555,0.022310756972111555
13-Jun-2014 14:49:05.405000,-122.1516305,47.321428166666664,42.621723,0.0,71.5,291.7,0.24557495,-5.82447815,8.1113739,0.0290857,-0.00946325,-0.55032432,-0.16075391,55.29411697,56.07843399,84.0,4728.0,95.34207916,0.023107569721115537,0.023107569721115537
13-Jun-2014 14:49:05.505000,-122.15168266666667,47.32144233333333,42.379932,0.0,71.4,292.2,-0.74703979,-6.78138733,9.48127747,0.09575154,-0.00946325,-0.55032432,-0.16075391,45.88235474,65.88235474,84.0,4728.0,94.80120087,0.02390438247011952,0.02390438247011952
13-Jun-2014 14:49:05.604000,-122.15173383333334,47.32145666666667,41.922077,0.0,71.4,292.6,-0.0305481,-5.45671082,10.08708191,0.12809907,-0.08516924,-0.58744937,0.09232733,45.88235474,65.88235474,84.0,6000.0,93.77701569,0.024701195219123506,0.024701195219123506
13-Jun-2014 14:49:05.704000,-122.15178516666667,47.321471333333335,41.675144,0.0,71.4,292.9,0.04562378,-4.97706604,11.21775818,0.15629248,-0.10627956,-0.60758907,0.03045225,45.88235474,43.52941132,84.0,6000.0,93.22463989,0.02549800796812749,0.02549800796812749
13-Jun-2014 14:49:05.805000,-122.151836,47.321486,41.67,0.0,71.4,293.3,-0.53161621,-5.81257629,11.27250671,0.30483097,0.04112874,-0.57835007,0.06587877,25.88235283,0.0,84.0,5849.0,93.21313477,0.026294820717131476,0.026294820717131476
13-Jun-2014 14:49:05.904000,-122.15188716666667,47.321502,41.64942,0.0,71.4,293.7,-0.22930908,-5.60548401,9.3634491,0.19929996,-0.07752585,-0.48759994,0.0276618,27.45098114,0.0,84.0,5713.0,93.167099,0.027091633466135457,0.027091633466135457
13-Jun-2014 14:49:06.006000,-122.1519375,47.321517,41.582546,0.0,71.5,293.9,0.50860596,-6.40290833,9.41105652,0.16717447,-0.04003682,-0.55275077,-0.0609045,27.45098114,1.17647064,84.0,5713.0,93.01750183,0.027888446215139442,0.027888446215139442
13-Jun-2014 14:49:06.104000,-122.15198783333334,47.321532166666664,41.51052,0.0,71.5,294.0,0.07894897,-5.23771667,10.21443176,0.18100744,-0.09584572,-0.48723599,-0.0445258,31.37254906,1.17647064,84.0,5713.0,92.85638428,0.028685258964143426,0.028685258964143426
13-Jun-2014 14:49:06.204000,-122.15203783333334,47.3215475,41.448788,0.0,71.4,294.2,0.46932983,-5.49836731,9.28370667,0.14060222,0.03469858,-0.49864042,0.05495964,31.37254906,1.17647064,84.0,5573.0,92.71829987,0.02948207171314741,0.02948207171314741
