Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Engine Load(%),Engine Coolant Temperature(C),Engine RPM(rpm),Speed (GPS)(mph),Track Progress,Adjusted Track Progress
13-Jun-2014 14:42:39.004000,-122.150054,47.3211605,45.03961,0.0,90.5,288.5,3.47097778,-0.4103241,9.7502594,0.06668252,0.31932399,0.00157721,0.00630883,40.39215851,40.7843132,89.0,5773.0,100.75074005,0.0,0.0
13-Jun-2014 14:42:39.117000,-122.15011033333333,47.3211735,44.97788,0.0,90.5,289.3,3.10916138,-0.45198059,7.30799866,-0.17827493,0.31932399,0.00157721,0.00630883,38.03921509,40.7843132,89.0,5756.0,100.61264801,0.0007587253414264037,0.0007587253414264037
13-Jun-2014 14:42:39.206000,-122.15022266666666,47.321201,45.1425,0.0,90.5,290.4,2.57000732,-0.51387024,8.56959534,-0.07565844,0.28244159,-0.00266912,-0.24264739,38.03921509,37.64706039,89.0,5756.0,100.980896,0.0015174506828528073,0.0015174506828528073
13-Jun-2014 14:42:39.305000,-122.15022266666666,47.321201,45.1425,0.0,90.5,290.4,2.99133301,-0.77333069,10.5322113,0.01122147,0.27043054,-0.03542652,-0.03809564,36.86274719,37.64706039,89.0,5751.0,100.980896,0.002276176024279211,0.002276176024279211
13-Jun-2014 14:42:39.407000,-122.15027866666667,47.32121516666667,45.286545,0.0,90.5,290.7,3.06155396,-0.74595642,10.58934021,0.13706619,0.27758864,-0.03263608,0.09184204,34.90196228,33.72549057,89.0,5751.0,101.30310822,0.0030349013657056147,0.0030349013657056147
13-Jun-2014 14:42:39.505000,-122.1503345,47.32122966666667,45.183655,0.0,90.5,291.3,2.84851074,-0.72572327,11.30226135,0.20128816,0.27758864,-0.03263608,0.09184204,34.90196228,33.72549057,89.0,5751.0,101.07295227,0.0037936267071320183,0.0037936267071320183
13-Jun-2014 14:42:39.605000,-122.15039016666667,47.3212445,45.250534,0.0,90.5,291.5,0.21939087,-0.69120789,10.04066467,0.03702289,0.1233862,-0.03518387,0.01577208,31.76470566,30.58823586,89.0,5751.0,101.22255707,0.004552352048558422,0.004552352048558422
13-Jun-2014 14:42:39.706000,-122.15044583333334,47.32125966666667,45.30712,0.0,90.5,292.1,0.30865479,-0.69358826,9.49079895,-0.01860464,-0.00303309,-0.02729783,-0.02013973,31.76470566,30.58823586,89.0,5733.0,101.34914398,0.005311077389984826,0.005311077389984826
13-Jun-2014 14:42:39.818000,-122.15050133333334,47.321275,45.399723,0.0,90.5,292.4,0.66690063,-0.96376038,9.02067566,-0.06188911,0.03348534,-0.05483831,-0.0680626,29.41176605,25.88235283,89.0,5733.0,101.55628204,0.006069802731411229,0.006069802731411229
13-Jun-2014 14:42:39.904000,-122.15055983333333,47.32129283333333,45.389435,0.0,90.4,292.6,0.43243408,-0.84236145,9.26585388,-0.03970605,0.03348534,-0.05483831,-0.0680626,29.41176605,25.88235283,89.0,5715.0,101.53327179,0.006828528072837633,0.006828528072837633
